importOrder,fileName,purpose,targetScreenOrModel,dependsOn,required,repoTargetPath,importNotes
1,01_course_setup_enhanced.csv,"Creates/updates the core course setup record: title, slug, descriptions, audience, language, level, duration, access, certificate, final test, pass threshold, thumbnail, accessibility and safety notes.",Course Setup / Course,Reference data already seeded,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/01_course_setup_enhanced.csv,Course may be created as DRAFT first. Publish only through approved workflow or explicit seed-published demo instruction.
2,02_course_metadata_enhanced.csv,"Adds enhanced metadata: capacity area, CSO practice, standards, indicators, capacity gap, current practice, desired practice, K/S/M/E, course-fit decision, safeguards, and follow-up support.",Metadata / Capacity Linkage / Course.analysisMetadataJson / CourseCapacityArea,01_course_setup_enhanced.csv; reference-data CSVs,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/02_course_metadata_enhanced.csv,Use CAP-ADV as capacity area and STD-HRBA as standard family. HRBA is not the capacity area.
3,03_learning_outcomes_enhanced.csv,"Creates five enhanced learning outcomes with capacity, practice, observable action, indicator, measurement level, assessment method, evidence type, and success criterion.",Learning Outcomes / LearningOutcome / LearningOutcome.alignmentMetadataJson,02_course_metadata_enhanced.csv,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/03_learning_outcomes_enhanced.csv,"Learner-facing views should show only the clean outcome statements, not all internal alignment metadata."
4,04_modules_lessons_enhanced.csv,"Creates the course structure: 3 modules and 6 lessons, with stable IDs, linked outcomes, learning functions, expected outputs, capacity/practice/indicator alignment, and duration.",Build Studio Course Outline / Module / Lesson / Lesson.alignmentMetadataJson,03_learning_outcomes_enhanced.csv,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/04_modules_lessons_enhanced.csv,Total lesson duration should align with Course Setup 90 minutes including final test/activities.
5,05_build_studio_blocks_enhanced.csv,"Creates all 23 Build Studio blocks with learner-facing content, block config JSON, alignment metadata, assets, answers, feedback, and accessibility notes.",Build Studio / ContentBlock / ContentBlock.configJson,04_modules_lessons_enhanced.csv; 07_asset_manifest_enhanced.csv for assets,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/05_build_studio_blocks_enhanced.csv,Preserve block order. The branching scenario block is the signature strategic decision block.
6,06_final_test_enhanced.csv,"Creates final test settings and eight scored questions linked to outcomes and indicators, using 80% certificate threshold.",Final Test / Quiz / QuizQuestion,03_learning_outcomes_enhanced.csv,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/06_final_test_enhanced.csv,Final test questions are scored. Lesson knowledge checks remain low-stakes.
7,07_asset_manifest_enhanced.csv,"Defines all course assets: thumbnail, lesson images, required PDFs, optional PDFs, video URL, asset paths, alt text, captions, and repo target paths.",Assets / Resources / public/assets,Assets must exist or be generated/uploaded,Yes for required assets; optional rows do not block import,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/07_asset_manifest_enhanced.csv,Required PDFs and images should be placed under public/assets as specified.
8,08_catalog_preview_data.csv,"Defines expected catalogue card, public course detail, creator preview, learner preview, certificate information, and course outline display values.",Catalogue / Course Detail / Creator Preview,01-07 CSVs,Recommended for demo verification,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/08_catalog_preview_data.csv,Use for visual QA and public preview verification.
9,09_course_preview_qa.csv,"Provides QA checklist for course setup, metadata, dropdowns, outcomes, modules, blocks, branching scenario, assets, final test, previews, readiness, scope, mobile and accessibility.",QA / Evidence Pack,01-08 CSVs imported,Yes before stakeholder demo,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/09_course_preview_qa.csv,Codex should include QA results in the evidence pack.
10,10_codex_import_prompt.md,Final prompt for Codex to import or seed the complete HRBA advocacy course using the CSV pack.,Codex implementation prompt,All CSV files,Yes,docs/specs/phase-1-cso-learning-hub/demo-courses/hrba-advocacy/10_codex_import_prompt.md,Generated after manifest. Use after placing all CSVs in the repo folder.
