courseId,courseSlug,moduleId,lessonId,blockId,order,blockType,uiBlockLabel,blockTitle,linkedOutcomeId,learningFunction,indicatorId,blockPurpose,expectedLearnerAction,required,estimatedDurationMinutes,copyPasteMainContent,configJson,assetPathOrUrl,altText,caption,resourceDownloadLabel,knowledgeCheckCorrectAnswer,feedbackOrLearningPoint,accessibilityNotes,importNotes
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-01,BLK-HRBA-ADV-001,1,KEY_MESSAGE,Key Message,HRBA advocacy strengthens voice and accountability,LO-HRBA-ADV-01,EXPLAIN,IND-ADV-MSG-01,Essential takeaway,"Recognize that HRBA advocacy links community voice, evidence, participation, and accountability.",TRUE,2,"HRBA advocacy links voice, evidence, participation, and accountability. It should help affected people express priorities safely and encourage duty bearers to respond constructively.","{""message"": ""HRBA advocacy links voice, evidence, participation, and accountability. It should help affected people express priorities safely and encourage duty bearers to respond constructively."", ""supportingText"": ""Use this principle as the anchor for the full course."", ""tone"": ""info"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-01"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Recognize the core HRBA advocacy logic.""}}",,,,,,,Meaning must not rely on color only. Use info label/icon with readable contrast.,Create as Key Message block. Style/tone: Info.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-01,BLK-HRBA-ADV-002,2,TEXT,Text,What makes advocacy rights-based?,LO-HRBA-ADV-01,EXPLAIN,IND-ADV-MSG-01,Concept explanation,Explain how HRBA advocacy differs from general awareness raising.,TRUE,4,"Rights-based advocacy is not only about speaking on behalf of communities. It starts by asking whose rights are affected, who has responsibility to respond, who is excluded from decisions, what evidence is safe to use, and how affected people can participate meaningfully. A general advocacy message may say that a service is weak. A human rights-based advocacy message explains who is affected, what right or entitlement is at stake, which duty bearer can act, and what practical change is requested.","{""heading"": ""What makes advocacy rights-based?"", ""body"": ""Rights-based advocacy is not only about speaking on behalf of communities. It starts by asking whose rights are affected, who has responsibility to respond, who is excluded from decisions, what evidence is safe to use, and how affected people can participate meaningfully.\n\nA general advocacy message may say that a service is weak. A human rights-based advocacy message explains who is affected, what right or entitlement is at stake, which duty bearer can act, and what practical change is requested."", ""readingTimeMinutes"": 4, ""width"": ""standard"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-01"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Differentiate general advocacy from HRBA advocacy.""}}",,,,,,,Keep paragraphs short and readable on mobile.,Create as Text block. Paste body into rich/plain text field.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-01,BLK-HRBA-ADV-003,3,CASE_STUDY,Case Study,A local CSO wants inclusive school access,LO-HRBA-ADV-01,INVESTIGATE,IND-ADV-MSG-01,Contextual example,"Identify what makes an advocacy issue rights-based, specific, and safe.",TRUE,4,A local CSO working with children with disabilities notices that several children are not attending school because classrooms are physically inaccessible and families have not been consulted. The CSO wants to raise the issue with local education officials.,"{""title"": ""A local CSO wants inclusive school access"", ""context"": ""A practical local CSO advocacy example."", ""scenario"": ""A local CSO working with children with disabilities notices that several children are not attending school because classrooms are physically inaccessible and families have not been consulted. The CSO wants to raise the issue with local education officials."", ""guidingQuestion"": ""What would make this advocacy issue more rights-based, specific, and safe to raise?"", ""learningPoint"": ""A rights-based issue statement should identify the affected rights holders, the relevant duty bearer, the specific barrier, the evidence needed, and the safest way to raise the concern."", ""discussionQuestion"": ""What information should the CSO confirm before engaging officials?"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-01"", ""learningFunction"": ""INVESTIGATE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Analyze a local CSO advocacy issue through HRBA principles.""}}",,,,,,"A rights-based issue statement should identify rights holders, duty bearer, barrier, evidence, and safe engagement route.",Keep scenario concise; avoid text walls.,"Create as Case Study block with scenario, guiding question, and learning point."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-01,BLK-HRBA-ADV-004,4,ACCORDION,Accordion,Core HRBA advocacy principles,LO-HRBA-ADV-01,EXPLAIN,IND-ADV-MSG-01,Organize principles,Review the core HRBA principles and connect them to advocacy planning.,TRUE,3,Participation; Accountability; Non-discrimination,"{""title"": ""Core HRBA advocacy principles"", ""items"": [{""title"": ""Participation"", ""body"": ""Affected communities should help define the issue, message, and safe engagement approach.""}, {""title"": ""Accountability"", ""body"": ""Advocacy should identify who has responsibility to respond and what practical action is being requested.""}, {""title"": ""Non-discrimination"", ""body"": ""Advocacy should ask who is excluded, who faces additional barriers, and how the message can avoid reinforcing harm.""}], ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-01"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Connect HRBA principles to advocacy planning.""}}",,,,,,,Accordion must be keyboard accessible with clear expanded/collapsed states.,Create as Accordion with 3 items.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-01,BLK-HRBA-ADV-005,5,KNOWLEDGE_CHECK,Knowledge Check,Check your understanding,LO-HRBA-ADV-01,ASSESS,IND-ADV-MSG-01,Low-stakes check,Select the question that best reflects a rights-based advocacy approach.,TRUE,2,Which question best reflects a human rights-based advocacy approach?,"{""question"": ""Which question best reflects a human rights-based advocacy approach?"", ""options"": [{""id"": ""A"", ""text"": ""How can we finish our activity report?""}, {""id"": ""B"", ""text"": ""Which rights are affected, who is excluded, and who has responsibility to respond?""}, {""id"": ""C"", ""text"": ""How can we make the strongest public accusation?""}, {""id"": ""D"", ""text"": ""How can we avoid involving community members?""}], ""correctOptionId"": ""B"", ""correctFeedback"": ""Correct. HRBA advocacy connects rights, exclusion, participation, and duty-bearer responsibility."", ""incorrectFeedback"": ""Not quite. A rights-based advocacy approach should identify rights holders, duty bearers, exclusion, participation, and safe accountability."", ""allowRetry"": true, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-01"", ""learningFunction"": ""ASSESS"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Identify HRBA advocacy logic.""}}",,,,,B,"HRBA advocacy connects rights, exclusion, participation, and duty-bearer responsibility.",Options must be reachable by keyboard and feedback must be text-based.,"Low-stakes lesson assessment, not certificate scoring."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-02,BLK-HRBA-ADV-006,6,IMAGE,Image,Community participation in advocacy planning,LO-HRBA-ADV-02,INVESTIGATE,IND-ADV-MSG-01,Contextual visual,Observe how participation shapes safer and more grounded advocacy priorities.,TRUE,2,/assets/demo/hrba-advocacy/images/community-consultation.jpg,"{""title"": ""Community participation in advocacy planning"", ""imageUrl"": ""/assets/demo/hrba-advocacy/images/community-consultation.jpg"", ""altText"": ""Local CSO staff facilitating a group discussion with community representatives during advocacy planning."", ""caption"": ""Advocacy priorities should be shaped with the people most affected by the issue."", ""displaySize"": ""wide"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-02"", ""learningFunction"": ""INVESTIGATE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Recognize participation as part of HRBA advocacy.""}}",/assets/demo/hrba-advocacy/images/community-consultation.jpg,Local CSO staff facilitating a group discussion with community representatives during advocacy planning.,Advocacy priorities should be shaped with the people most affected by the issue.,,,,Alt text required before publication.,Create as Image block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-02,BLK-HRBA-ADV-007,7,TEXT,Text,"Rights holders, duty bearers, and power",LO-HRBA-ADV-02,EXPLAIN,IND-ADV-MSG-01,Concept explanation,"Identify rights holders, duty bearers, and power relationships in a CSO issue.",TRUE,4,"A rights holder is a person or group entitled to claim rights. A duty bearer is an actor with responsibility to respect, protect, or fulfil those rights. In advocacy, CSOs need to understand both sides. They should ask who is affected, who is excluded, who has authority or responsibility, and what power dynamics could create risk. This helps advocacy become more specific, accountable, and safe.","{""heading"": ""Rights holders, duty bearers, and power"", ""body"": ""A rights holder is a person or group entitled to claim rights. A duty bearer is an actor with responsibility to respect, protect, or fulfil those rights. In advocacy, CSOs need to understand both sides. They should ask who is affected, who is excluded, who has authority or responsibility, and what power dynamics could create risk. This helps advocacy become more specific, accountable, and safe."", ""readingTimeMinutes"": 4, ""width"": ""standard"", ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-02"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Identify rights holders and duty bearers.""}}",,,,,,,Use plain language and short sentences.,Create as Text block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-02,BLK-HRBA-ADV-008,8,FLASHCARDS,Flashcards,Key HRBA advocacy terms,LO-HRBA-ADV-02,PRACTICE,IND-ADV-MSG-01,Term practice,Recall and apply key HRBA advocacy terms.,TRUE,3,Rights holder; Duty bearer; Participation; Accountability,"{""title"": ""Key HRBA advocacy terms"", ""cards"": [{""front"": ""Rights holder"", ""back"": ""A person or group entitled to claim rights.""}, {""front"": ""Duty bearer"", ""back"": ""An actor with responsibility to respect, protect, or fulfil rights.""}, {""front"": ""Participation"", ""back"": ""Meaningful involvement of affected people in defining the issue and response.""}, {""front"": ""Accountability"", ""back"": ""Clear responsibility and follow-up for duty bearers to respond.""}], ""shuffle"": false, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-02"", ""learningFunction"": ""PRACTICE"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Recall and apply key terms.""}}",,,,,,,Provide accessible reveal behavior; do not rely only on flip animation.,Create as Flashcards block with four cards.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-01,LES-HRBA-ADV-01-02,BLK-HRBA-ADV-009,9,REFLECTION_PROMPT,Reflection,Reflect on participation,LO-HRBA-ADV-02,REFLECT,IND-ADV-MSG-01,Organizational reflection,Reflect on whether rights holders were meaningfully involved in a past advocacy issue.,TRUE,4,Think of one advocacy issue your organization has worked on. Were rights holders involved in defining the issue or message? What could have made participation more meaningful and safer?,"{""title"": ""Reflect on participation"", ""prompt"": ""Think of one advocacy issue your organization has worked on. Were rights holders involved in defining the issue or message? What could have made participation more meaningful and safer?"", ""guidanceText"": ""Keep your reflection private and avoid using names or sensitive details. Focus on what your organization can improve."", ""responseRequired"": false, ""privateToParticipant"": true, ""barrierCaptureEnabled"": true, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-02"", ""learningFunction"": ""REFLECT"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Identify participation gaps and possible improvements.""}}",,,,,,,"If response storage is implemented, response must be private by default.",Create as Reflection block.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,MOD-HRBA-ADV-02,LES-HRBA-ADV-02-01,BLK-HRBA-ADV-010,10,TEXT,Text,From concern to advocacy objective,LO-HRBA-ADV-03,EXPLAIN,IND-ADV-MSG-01,Skill framing,Turn a broad concern into a focused advocacy objective.,TRUE,4,"A community concern becomes a stronger advocacy objective when it clearly identifies the affected group, the barrier they face, the duty bearer who can respond, and the specific change requested. A safe objective avoids exposing individuals, blaming without evidence, or making demands that cannot be acted on. Start with the issue, then narrow it into one realistic change.","{""heading"": ""From concern to advocacy objective"", ""body"": ""A community concern becomes a stronger advocacy objective when it clearly identifies the affected group, the barrier they face, the duty bearer who can respond, and the specific change requested. A safe objective avoids exposing individuals, blaming without evidence, or making demands that cannot be acted on. Start with the issue, then narrow it into one realistic change."", ""readingTimeMinutes"": 4, ""alignment"": {""linkedOutcomeId"": ""LO-HRBA-ADV-03"", ""learningFunction"": ""EXPLAIN"", ""indicatorId"": ""IND-ADV-MSG-01"", ""expectedLearnerAction"": ""Formulate focused advocacy objective.""}}",,,,,,,Use before strategic branching scenario.,Create as Text block before Branching Scenario.
