courseId,courseSlug,previewArea,fieldKey,platformField,copyPasteValue,expectedDisplayLabel,sourceCsv,requiredForDemo,notes
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,image,Course card image,/assets/demo/hrba-advocacy/images/hrba-advocacy-course-thumbnail.jpg,,01_course_setup_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,Course thumbnail from Course Setup. Should render on catalogue card.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,title,Course card title,Human Rights-Based Advocacy in Practice for Local CSOs,,01_course_setup_enhanced.csv,Yes,Must match Course Setup title exactly.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,capacityBadge,Capacity badge,CAP-ADV,Evidence-Based Advocacy and Civic Engagement,02_course_metadata_enhanced.csv,Yes,"Do not show old label 'Human Rights-Based Approach / Advocacy' as capacity. HRBA is a standard family, not capacity area."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,practiceBadge,Practice badge,PRAC-ADV-SAFE-MSG,Draft safe evidence-based advocacy messages,02_course_metadata_enhanced.csv,Recommended,Use if card supports secondary badge or detail metadata.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,standardBadge,Standard family badge,STD-HRBA,Human Rights-Based Approach Principles,02_course_metadata_enhanced.csv,Optional,Show only if card has room. Avoid overcrowding.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,shortDescription,Short description,"A practical course helping local CSO staff apply human rights-based approaches to safe, evidence-informed advocacy work.",,01_course_setup_enhanced.csv,Yes,Should be concise and readable on the catalogue card.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Catalogue Card,metadataLine,Card metadata,Foundational • 90 minutes • Certificate,,01_course_setup_enhanced.csv,Yes,Use platform’s card metadata style. Certificate means certificateEligible = TRUE.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,heroImage,Hero image,/assets/demo/hrba-advocacy/images/hrba-advocacy-course-thumbnail.jpg,,01_course_setup_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,Same thumbnail as catalogue unless course detail supports separate hero image.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,overview,Course overview,"This course helps local and grassroots CSO staff translate human rights-based principles into practical advocacy planning. Participants learn how to identify rights holders and duty bearers, use community evidence responsibly, assess risks, prepare safe advocacy messages, and develop a simple HRBA advocacy action outline.",,01_course_setup_enhanced.csv,Yes,Use as public course detail overview if longDescription is too long for hero area.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,learningOutcomes,Learning outcomes,LO-HRBA-ADV-01; LO-HRBA-ADV-02; LO-HRBA-ADV-03; LO-HRBA-ADV-04; LO-HRBA-ADV-05,5 learning outcomes,03_learning_outcomes_enhanced.csv,Yes,"Course detail should display learner-friendly outcome statements, not all internal metadata."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,moduleOutline,Module outline,MOD-HRBA-ADV-01; MOD-HRBA-ADV-02; MOD-HRBA-ADV-03,3 modules • 6 lessons,04_modules_lessons_enhanced.csv,Yes,"Public detail page should show module/lesson outline, not Build Studio controls."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,certificateInfo,Certificate information,Certificate available after completing required lessons and passing the final test with at least 80%.,,01_course_setup_enhanced.csv; 06_final_test_enhanced.csv,Yes,"Must use 80% threshold, not 90%."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course Detail Page,accessibilityNote,Accessibility/resource note,"Includes short readings, practical activities, downloadable templates, image alt text, and transcript-supported video content.",,01_course_setup_enhanced.csv; 07_asset_manifest_enhanced.csv,Recommended,Use if course detail has an accessibility/resource note section.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Creator Preview,catalogueCardPreview,Catalogue card preview,Show the card using real saved course data.,,01_course_setup_enhanced.csv; 02_course_metadata_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,Important for demo: course creator should see how the course appears before publish.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Creator Preview,learnerCoursePreview,Learner course preview,"Show modules, lessons, blocks, resources, and final test summary from saved course data.",,04_modules_lessons_enhanced.csv; 05_build_studio_blocks_enhanced.csv; 06_final_test_enhanced.csv,Yes,"Must use selected course data, not static demo content."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Public Catalogue,visibility,Catalogue visibility,PUBLIC,Public,01_course_setup_enhanced.csv,Yes,Course appears in public catalogue only when status is PUBLISHED and visibility allows catalogue display.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Public Catalogue,publicationStatus,Publication status,PUBLISHED,Published,Codex import / course publish step,Yes,"Codex import may create as DRAFT first, then publish through approved workflow or seed as published demo course if explicitly instructed."
