courseId,courseSlug,qaId,qaArea,routeOrScreen,check,expectedResult,sourceCsv,requiredForDemo,status,notes
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-001,Course Setup,/creator/courses/[courseId]/setup,"Course title, slug, short description, long description, duration, language, level, access, certificate setting, final test setting, pass threshold, and thumbnail save correctly.",Reopening Course Setup shows saved values. Pass threshold is 80. Course remains Draft unless explicitly published through approved workflow.,01_course_setup_enhanced.csv,Yes,To Check,No developer/demo wording should appear in user-facing fields.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-002,Course Thumbnail,/courses or creator preview catalogue card,Thumbnail appears in catalogue card preview.,Card uses /assets/demo/hrba-advocacy/images/hrba-advocacy-course-thumbnail.jpg or a polished fallback if asset is missing.,01_course_setup_enhanced.csv; 07_asset_manifest_enhanced.csv; 08_catalog_preview_data.csv,Yes,To Check,Image should not be distorted or cropped in a way that loses the local CSO advocacy scene.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-003,Course Detail,/courses/[courseSlug],Public course detail / preview header uses real saved course data.,"Title, overview, image, capacity area, practice/standard where supported, outcomes, module outline, duration, language, and certificate information display correctly.",01_course_setup_enhanced.csv; 03_learning_outcomes_enhanced.csv; 04_modules_lessons_enhanced.csv; 08_catalog_preview_data.csv,Yes,To Check,Must not show creator controls or internal readiness/debug language.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-004,Metadata,/creator/courses/[courseId]/metadata,Enhanced metadata saves and reloads.,"Capacity area CAP-ADV, CSO practice PRAC-ADV-SAFE-MSG, standards, indicators, capacity gap, baseline/current practice, desired practice, K/S/M/E, course-fit decision, safeguards, and follow-up support persist after save/reopen.",02_course_metadata_enhanced.csv,Yes,To Check,"HRBA should appear as standard family STD-HRBA, not as capacity area."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-005,Dropdown Filtering,/creator/courses/[courseId]/metadata and /creator/courses/[courseId]/outcomes,Capacity Area filters CSO Practice; Capacity Area + CSO Practice + Standard Family filters Indicator.,Selecting CAP-ADV shows PRAC-ADV-SAFE-MSG. Indicator options include IND-ADV-MSG-01 and IND-ADV-SAFE-02 where relevant.,02_course_metadata_enhanced.csv; reference-data CSVs,Yes,To Check,No fallback invented reference values should be used.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-006,Outcomes,/creator/courses/[courseId]/outcomes,"Five enhanced outcomes save, reload, and remain ordered.","Each outcome has statement, capacity area, CSO practice, observable action, standard family, indicator, measurement level, assessment method, evidence type, and success criterion where provided.",03_learning_outcomes_enhanced.csv,Yes,To Check,"Course detail should show learner-friendly outcome statements, not all internal metadata."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-007,Modules and Lessons,/creator/courses/[courseId]/build,Three modules and six lessons save and display in the course outline.,"Course outline shows all modules and lessons in order, with required lessons and estimated duration.",04_modules_lessons_enhanced.csv,Yes,To Check,Total duration should align with Course Setup 90 minutes.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-008,Build Studio Blocks,/creator/courses/[courseId]/build,All 23 blocks import/create in correct order and persist after save/reopen.,"Blocks render under the correct lessons with the configured content, alignment data, and small badges/chips where supported.",05_build_studio_blocks_enhanced.csv,Yes,To Check,Build Studio must keep three-column layout and avoid heavy metadata panels.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-009,Branching Scenario,/creator/courses/[courseId]/build and learner preview,Enhanced strategic branching scenario works.,"Scenario presents realistic options, consequences, best option C, retry behavior, and learning point. Feedback is readable and not color-only.",05_build_studio_blocks_enhanced.csv,Yes,To Check,This is the signature interactive block for the course.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-010,Resources,/creator/courses/[courseId]/build and learner preview,Required resources appear in resource blocks.,Stakeholder mapping template and HRBA advocacy checklist show descriptive download buttons and correct file paths.,05_build_studio_blocks_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,To Check,Optional backup resources should not block import if unavailable.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-011,Images,Build Studio and learner preview,Image blocks render with alt text and captions.,"Community consultation and stakeholder mapping images display with proper alt text. Missing image fallback, if used, is polished.",05_build_studio_blocks_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,To Check,No broken image icons.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-012,Video,Build Studio and learner preview,Video block handles temporary URL and transcript.,"Video block displays URL or approved embed. Transcript appears or is available. If video URL is not final, preview still remains acceptable with transcript fallback.",05_build_studio_blocks_enhanced.csv; 07_asset_manifest_enhanced.csv,Recommended,To Check,Replace example.com URL before final stakeholder demo if possible.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-013,Final Test,/creator/courses/[courseId]/quiz and /learn/courses/[courseSlug]/final-test,"Final test uses 80% threshold, 8 questions, correct answers, explanations, and retake rules.","Final Test Setup shows 80 threshold, retake allowed if supported, max attempts 3 if supported, and all questions linked to outcomes/indicators.",06_final_test_enhanced.csv,Yes,To Check,"Scored multiple choice and true/false belong in final test, not as lesson block types."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-014,Creator Preview,/creator/courses/[courseId]/preview,Creator preview uses selected saved course data.,"Preview shows this HRBA course’s modules, lessons, blocks, resources, and final test summary. It does not show static demo-course data.",08_catalog_preview_data.csv,Yes,To Check,Important for stakeholder demo.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-015,Learner Preview,/learn/courses/[courseSlug],Learner-facing course output is clean and does not expose creator/admin controls.,Learner route shows polished participant-facing course layout only.,05_build_studio_blocks_enhanced.csv; 08_catalog_preview_data.csv,Yes,To Check,"No internal readiness checks, block config, or creator buttons should appear."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-016,Readiness,/creator/courses/[courseId]/submit,"Readiness checks recognize metadata, outcomes, modules, lessons, blocks, final test, alt text, and resource presence.",Course is considered ready when required data is present. Any warning is specific and actionable.,All enhanced CSVs,Yes,To Check,Keep readiness concise; do not create heavy diagnosis/governance dashboard.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-017,Scope Control,All creator and learner routes,No Phase 2/3 modules visible as active features.,"No diagnosis, capacity map, action map, practical proof verification, badge workflow, CRM, donor management, collaboration, co-creation, or heavy compliance panels are added.",N/A,Yes,To Check,This protects Phase 1 scope.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,QA-HRBA-018,Mobile and Accessibility,"Catalogue, detail, creator preview, learner course player",Course displays acceptably on narrow/mobile viewport and core interactions remain usable.,"Text is readable, cards stack cleanly, buttons are tappable, accordions/flashcards/scenario/checks are keyboard/touch accessible, and alt text/transcript/resource labels are present.",05_build_studio_blocks_enhanced.csv; 07_asset_manifest_enhanced.csv,Yes,To Check,Capture screenshots or visual QA notes in evidence pack.
